elektronik sering -ak akibat voltase listrik tidak stabil	Divisi Pemasaran dan Pelayanan Pelanggan
lapor rekening mohon refund	Kepolisian Negara Republik Indonesia
bangkit listrik tenaga surya	Divisi Pemasaran dan Pelayanan Pelanggan
mohon turun desil - data terima bantu sosial	Kementerian Sosial
pasang listrik baru	Divisi Pemasaran dan Pelayanan Pelanggan
minta informasi kena dtks	Kementerian Sosial
cemar nama baik sosmed tiktok	Kementerian Komunikasi dan Informatika
susah kuliah during	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
pju mati tahun	Direktorat Jenderal Perhubungan Darat
lapor konten negatif resah masyarakat guna media sosial twittter	Kementerian Komunikasi dan Informatika
sembako bpnt	Kementerian Sosial
ijazahdan transkrip tidak daftar pddikti	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
pungli muat barang supir ciwadan cilegon	Direktorat Jenderal Perhubungan Darat
renovasi rumah dinas polri	Kepolisian Negara Republik Indonesia
adu pkh	Kementerian Sosial
ijazah tahan	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
tipu tiket konser online	Kepolisian Negara Republik Indonesia
tanya prosedur ubah data diri proses tara ijazah luar negeri	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
pkh tak kunjung cair padahal daftar jadi terima manfaat	Kementerian Sosial
korban tipu	Kepolisian Negara Republik Indonesia
minta biaya nilai tidak masuk akal	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
bantu bpnt periode nov - des	Kementerian Sosial
tarif sosial	Divisi Pemasaran dan Pelayanan Pelanggan
informasi umum	Kementerian Komunikasi dan Informatika
lapor konten negatif resah masyarakat guna media sosial twittter	Kementerian Komunikasi dan Informatika
mohon koreksi kerja pln daerah sini	Divisi Pemasaran dan Pelayanan Pelanggan
layan internet buruk	Divisi Pemasaran dan Pelayanan Pelanggan
bantu sosial	Kementerian Sosial
kapan gelar perkara	Kepolisian Negara Republik Indonesia
adu situs judi online	Kementerian Komunikasi dan Informatika
duga buat lapor polis terang palsu	Kepolisian Negara Republik Indonesia
bpnt	Kementerian Sosial
tidak terima bantu pkh	Kementerian Sosial
kabel listrik jalan cipendawa baru sangat bahaya guna jalan	Divisi Pemasaran dan Pelayanan Pelanggan
restitusi kembali dana pln terlalu lama rugi konsumen	Divisi Pemasaran dan Pelayanan Pelanggan
indikasi conflict of interest pilmapres tingkat wilayah lldikti wilayah ii	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
tiket adu batal pihak	Divisi Pemasaran dan Pelayanan Pelanggan
oknum polisi	Kepolisian Negara Republik Indonesia
tipu	Kepolisian Negara Republik Indonesia
perihal ijazah	Direktorat Jenderal Tenaga Kesehatan
stop bansos bapak tinggal	Kementerian Sosial
finah perselingkuhanpencemaran nama baik	Kepolisian Negara Republik Indonesia
lapor situs tipu kedok website judi online	Kementerian Komunikasi dan Informatika
ubah data mahasiswa	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
tidak bisa lanjut daftar pppk tri hubung	Direktorat Jenderal Perhubungan Darat
bus pariwisata ambil tumpang jalan gandrungmangu jawa tengah	Direktorat Jenderal Perhubungan Darat
lapor testing	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
informasi pppk nakes	Direktorat Jenderal Tenaga Kesehatan
soft launching telkom university cabang surabaya	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
pal listrik tanam tanah tuan pln jadi punya tanah bayar apabila pindah pal listrik sebut	Divisi Pemasaran dan Pelayanan Pelanggan
data pln tidak sesuai dukcapil	Divisi Pemasaran dan Pelayanan Pelanggan
salah guna data base pribadi	Kepolisian Negara Republik Indonesia
listrik sering mati nyala sejak tanggal oktober hingga sekarang oktober	Divisi Pemasaran dan Pelayanan Pelanggan
uang kuliah unj tidak jangkau	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
tagih tagih pln tidak sopan	Divisi Pemasaran dan Pelayanan Pelanggan
ukur stiker taksi online	Direktorat Jenderal Perhubungan Darat
kartu kks tidak pegang sendiri	Kementerian Sosial
adu situs judi online	Kementerian Komunikasi dan Informatika
ktp asli tahan bulan cabut berkas kendara	Kepolisian Negara Republik Indonesia
bakar tiang listrik	Divisi Pemasaran dan Pelayanan Pelanggan
dapat subsidi listrik	Divisi Pemasaran dan Pelayanan Pelanggan
mohon daftarinformasi lsm	Divisi Pemasaran dan Pelayanan Pelanggan
duga seleweng jabat pungli laku dosen universitas yapis papua mahasiswa	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
curang tugas po setia negara	Direktorat Jenderal Perhubungan Darat
polisi cepek terowongan stasiun cawang resah	Kepolisian Negara Republik Indonesia
lapor belum verifikasi hari	Kementerian Komunikasi dan Informatika
ketidaksesuaian jabat kualifikasi didik	Direktorat Jenderal Tenaga Kesehatan
ubah nomor telepon	Kementerian Komunikasi dan Informatika
keluh harga transportasi online	Direktorat Jenderal Perhubungan Darat
data forlap dikti belum	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
box gardu pln keropos	Divisi Pemasaran dan Pelayanan Pelanggan
belum dapat kartu bantu terima pkh	Kementerian Sosial
pln kata usaha listrik negara	Divisi Pemasaran dan Pelayanan Pelanggan
buat e-str profesi tenaga vokasi farmasi tidak bisa	Direktorat Jenderal Tenaga Kesehatan
laman lapor ditjen nakes	Direktorat Jenderal Tenaga Kesehatan
pkh tidak cair	Kementerian Sosial
kapasitas lab	Kementerian Komunikasi dan Informatika
belum dapat bansos	Kementerian Sosial
tipu online	Kepolisian Negara Republik Indonesia
usul warga miskin masuk dtks	Kementerian Sosial
paksa mahasiswa	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
info magang pln wilayah dki jakarta	Divisi Pemasaran dan Pelayanan Pelanggan
nakes ikut jadi korban sekat tidak boleh lewat ppkm darurat tugas jaga belum paham bijak atur ppkm	Direktorat Jenderal Perhubungan Darat
korban mafia tanah	Kepolisian Negara Republik Indonesia
adu situs judi online	Kementerian Komunikasi dan Informatika
tidak dapat kks	Kementerian Sosial
tidak bisa login registrasi e-str ktki	Direktorat Jenderal Tenaga Kesehatan
 er staff	Direktorat Jenderal Perhubungan Darat
travo pln	Divisi Pemasaran dan Pelayanan Pelanggan
ripani maliabarkah	Kementerian Sosial
minta naik daya listrik rumah kontrak	Divisi Pemasaran dan Pelayanan Pelanggan
pkh	Kementerian Sosial
tipu jual beli akun game	Kepolisian Negara Republik Indonesia
tabrak lari	Kepolisian Negara Republik Indonesia
layan armada bus	Direktorat Jenderal Perhubungan Darat
lapor akun konten negatif separatisme papua	Kementerian Komunikasi dan Informatika
str daftar sismdkdatabes tidak sama str aktif sekarang	Direktorat Jenderal Tenaga Kesehatan
didik jarak jauh	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
salah kode biling bayar estr	Direktorat Jenderal Tenaga Kesehatan
tetap rekrut meski putus dishub keluar	Direktorat Jenderal Perhubungan Darat
judi online	Kementerian Komunikasi dan Informatika
daftar bantu bpnt tidak pernah dapat	Kementerian Sosial
mau hapus data didik kait pra kerja	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
jebak teliti kerjasama universitas katolik parahyangan warga lain	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
pju semua mati jalan nasional gelap	Direktorat Jenderal Perhubungan Darat
adu naik ongkos angkut umum	Direktorat Jenderal Perhubungan Darat
tabrak	Kepolisian Negara Republik Indonesia
tiang kabel retak miring	Divisi Pemasaran dan Pelayanan Pelanggan
cabut adu itwasum mabes polri atas lapor no lpbipolres batu barapolda sumut adu raden nuh	Kepolisian Negara Republik Indonesia
konsultasi teknis biaya tata cara prosedur aplikasi	Kementerian Komunikasi dan Informatika
palsu identitas e str tenaga sehat	Direktorat Jenderal Tenaga Kesehatan
lain	Kementerian Komunikasi dan Informatika
tarif batas transportasi daring	Direktorat Jenderal Perhubungan Darat
lpju jalan jogja-solo	Direktorat Jenderal Perhubungan Darat
perihal jual kasur ferry	Direktorat Jenderal Perhubungan Darat
info pppk nakes	Direktorat Jenderal Tenaga Kesehatan
adu listrik padam tidak clear	Divisi Pemasaran dan Pelayanan Pelanggan
lapor judi online	Kementerian Komunikasi dan Informatika
tara ijazah luar negeri kemendikbud lama tidak update	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
tipu online marketplace facebook	Kepolisian Negara Republik Indonesia
mohon update nama akun aidha nurlaely amk jadi aidha nurlaely	Direktorat Jenderal Tenaga Kesehatan
sulit aktivasi akun sdmk satu sehat	Direktorat Jenderal Tenaga Kesehatan
tipu online	Kepolisian Negara Republik Indonesia
universitas tidak aji dosen	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
transaksi jual beli narkotika	Kepolisian Negara Republik Indonesia
surat undang ambil bansos telat kasih	Kementerian Sosial
tipu buat sim b	Kepolisian Negara Republik Indonesia
nik daftar kemendikbud lulus	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
syarat cpns kemenhub	Direktorat Jenderal Perhubungan Darat
kerja judi online indonesia kamboja	Kementerian Komunikasi dan Informatika
kabel semrawut	Divisi Pemasaran dan Pelayanan Pelanggan
selesai rumah dinas pln	Divisi Pemasaran dan Pelayanan Pelanggan
curi listrik	Divisi Pemasaran dan Pelayanan Pelanggan
pju jalan nasional	Direktorat Jenderal Perhubungan Darat
bijak adil ada asn pppk tahun	Direktorat Jenderal Tenaga Kesehatan
putus hubung kerja pihak - dosen tenaga didik	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
palsu surat hak waris tidak proses	Kepolisian Negara Republik Indonesia
adu akun lms	Direktorat Jenderal Tenaga Kesehatan
tata cara prosedur uji	Kementerian Komunikasi dan Informatika
proses pasang refund iconnet bertele-tele	Divisi Pemasaran dan Pelayanan Pelanggan
bantu pkh	Kementerian Sosial
bus semena-mena tentu tarif bus akap	Direktorat Jenderal Perhubungan Darat
terminal bobotsari	Direktorat Jenderal Perhubungan Darat
bpnt tidak cair	Kementerian Sosial
kecewa pengoprasionalan bus chelly	Direktorat Jenderal Perhubungan Darat
keluh aspirasi dokter spesialis	Direktorat Jenderal Tenaga Kesehatan
tranpostasi umum bandara internasional juanda	Direktorat Jenderal Perhubungan Darat
tipu tiket kai	Kepolisian Negara Republik Indonesia
salah guna link perintah	Kementerian Komunikasi dan Informatika
bantu sosial perintah	Kementerian Sosial
tara ijazah makan waktu tahun bulan	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
listrik pln padam	Divisi Pemasaran dan Pelayanan Pelanggan
baik layan moda transportasi darat	Direktorat Jenderal Perhubungan Darat
bau sengat kamu - tol jakarta cikampek sekitar pabrik maspion sd pabrik ahm	Direktorat Jenderal Perhubungan Darat
gelap barang jne	Kepolisian Negara Republik Indonesia
bantu rumah roboh masyarakat kurang mampu	Kementerian Sosial
penyalahgunaan wewenang	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
lapor tipu online	Kepolisian Negara Republik Indonesia
lapor polisi sejak tanggal juni no tblbvispktpolres tangerang selatanpolda metro jaya belum kembang proses nya	Kepolisian Negara Republik Indonesia
tipu online	Kepolisian Negara Republik Indonesia
sistem layan bayar online pln buruk licik	Divisi Pemasaran dan Pelayanan Pelanggan
ketidaksesuaian atur yayasan undang-undang	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
pegawai pln tidak nafkah anak istri tahun tahun	Divisi Pemasaran dan Pelayanan Pelanggan
sumatera utara kabupaten nias barat camat mandehe utara desa hilimayo surat adu	Divisi Pemasaran dan Pelayanan Pelanggan
tidak dapat surat nyata tanggung jawab mutlak sptjm dapat unduh pdpt	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
universitas matana wajib uji kompetensi berat mahasiswa	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
nomer token tidak bisa pakai	Divisi Pemasaran dan Pelayanan Pelanggan
listrik tapos tenjolaya bogor sering mati	Divisi Pemasaran dan Pelayanan Pelanggan
beasiswa on going beasiswa bpdn sertifikasi	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
maret	Kementerian Sosial
adu	Kementerian Sosial
adu situs judi online	Kementerian Komunikasi dan Informatika
madam listrik	Divisi Pemasaran dan Pelayanan Pelanggan
tipu oline	Kepolisian Negara Republik Indonesia
terminal	Direktorat Jenderal Perhubungan Darat
lampu terang jalan umum	Direktorat Jenderal Perhubungan Darat
harga tarif bus tingkat	Direktorat Jenderal Perhubungan Darat
bantu sosial bpnt	Kementerian Sosial
dahan pohon kena kabel pln rawan ganggu	Divisi Pemasaran dan Pelayanan Pelanggan
usul pkh lewat apk cek bansos tidak dapat pkh	Kementerian Sosial
tipu investasi bodong	Kepolisian Negara Republik Indonesia
lama solusi devisit daya listrik	Divisi Pemasaran dan Pelayanan Pelanggan
bansos tutup alas	Kementerian Sosial
u- kartu awas kendara angkut barang khusus	Direktorat Jenderal Perhubungan Darat
tipu	Kepolisian Negara Republik Indonesia
ada aplikasi ojek online semarang tidak ikut tarif permenhub	Direktorat Jenderal Perhubungan Darat
hormat bapak menteri pergubungan mau lapor soal tarif maxim kok todak	Direktorat Jenderal Perhubungan Darat
guna link universitas promosi judi online	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
tertib pintu keluar terminal purabaya bungurasih surabayasidoarjo	Direktorat Jenderal Perhubungan Darat
tidak terima gaji sejak juli	Direktorat Jenderal Tenaga Kesehatan
tidak akurat kis	Kementerian Sosial
rasa tipu bpkb motor lunas sekarang belum ikan hak atas bpkb	Kepolisian Negara Republik Indonesia
tipu jual beli akun youtube	Kepolisian Negara Republik Indonesia
keluh sistem bayar pintu toll	Direktorat Jenderal Perhubungan Darat
dusun nanga koyan belum nikmat listrik negara pln	Divisi Pemasaran dan Pelayanan Pelanggan
ijazah belum ikan pihak kampus institut sehat indonesia	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
konversi nilai ijazah luar negeri bulan lebih	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
verivikasi cek bansos	Kementerian Sosial
lapor situs pornografi nama playbokep	Kementerian Komunikasi dan Informatika
user adu subsidi listrik gagal	Divisi Pemasaran dan Pelayanan Pelanggan
tipu bas donasi	Kepolisian Negara Republik Indonesia
sulit panjang surat tanda regristrasi awat	Direktorat Jenderal Tenaga Kesehatan
proses terbit ijazah ulm sangat lambat kurang informatif	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
listrik	Divisi Pemasaran dan Pelayanan Pelanggan
pohon jadi tiang listrik	Divisi Pemasaran dan Pelayanan Pelanggan
marka jalan pudar hilang jalan nasional kab parigi moutong sulawesi tengah	Direktorat Jenderal Perhubungan Darat
tidak dapat lolos prakerja nik daftar kemendikbud guru tinggi padahal lulus	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
tarif tadi online	Direktorat Jenderal Perhubungan Darat
sumatera utarakabupaten nias barat camat mandehe utara desa hilimayo surat adu	Divisi Pemasaran dan Pelayanan Pelanggan
curi data pribadi cemar nama baik tipu online	Kepolisian Negara Republik Indonesia
lampu terang jalan pju banyak mati ruas jalan nasional cadas pangeran sumedang jawa barat	Direktorat Jenderal Perhubungan Darat
gaji dosen swasta	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
adu lakalantas	Kepolisian Negara Republik Indonesia
adu	Kementerian Sosial
aju jabat fungsional dosen	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
informasi kena tarif kapal ferry	Direktorat Jenderal Perhubungan Darat
program keluarga harap pkh	Kementerian Sosial
usul nidn dosen tetap yayasan	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
investasi bodong	Kepolisian Negara Republik Indonesia
lapor tidak ada atur protokol sehat laksana bus umum	Direktorat Jenderal Perhubungan Darat
hari listrik pln belum pasang	Divisi Pemasaran dan Pelayanan Pelanggan
lpju mati	Direktorat Jenderal Perhubungan Darat
pungli mudikbalik gratis kemenhubbumn	Direktorat Jenderal Perhubungan Darat
belum terima dana bansos bpnt blt bbm	Kementerian Sosial
lampu terang jalan mati	Direktorat Jenderal Perhubungan Darat
bpnt tidak cair	Kementerian Sosial
paksa gratifikasiriswah	Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
keluh layan ptl up samarinda	Divisi Pemasaran dan Pelayanan Pelanggan
minta informasi operasional teman bus rute merr-gunung anyar surabaya	Direktorat Jenderal Perhubungan Darat
tipu facebook market place	Kepolisian Negara Republik Indonesia
selesai project pln sangat lambat sumatera jawa khusus transmisi kv kv	Divisi Pemasaran dan Pelayanan Pelanggan
